CATEGORY,SUBCATEGORY,QUESTION,ANSWER,TAGS,DIFFICULTY_LEVEL
Basics,Definitions_1,What is raw land?,"Raw land is undeveloped property with no buildings, utilities, or improvements. It's land in its natural state that may be suitable for development, farming, recreation, or investment.",raw_land_undeveloped_definition_natural_state,beginner_1
Basics,Definitions_2,What is improved land?,"Improved land has utilities (water, sewer, electricity), roads, and sometimes basic infrastructure. It's ready for building and typically costs more than raw land but saves development costs.",improved_land_utilities_infrastructure_ready_to_build,beginner_2
Basics,Definitions_3,What is zoning?,"Zoning is local government regulations that control how land can be used. Common zones include residential (houses), commercial (businesses), industrial (manufacturing), and agricultural (farming).",zoning_definition_government_regulations_land_use,beginner_3
Basics,Definitions_4,What is a subdivision?,"A subdivision is land divided into smaller lots for development. Developers buy large parcels, get approval to split them, install infrastructure, and sell individual lots to builders or homeowners.",subdivision_definition_lots_development_infrastructure,beginner_4
Basics,Definitions_5,What are property lines?,"Property lines are the legal boundaries of your land ownership. They're determined by surveys and recorded in deeds. Knowing exact boundaries prevents disputes with neighbors.",property_lines_boundaries_surveys_legal_ownership,beginner_5
Zoning_Basics,Residential_1,What does R-1 zoning allow?,"R-1 (Single-Family Residential) allows: single-family detached homes, accessory buildings like garages, sometimes home businesses. Typical restrictions: minimum lot size, setbacks, height limits.",r1_zoning_single_family_residential_restrictions_setbacks,beginner_6
Zoning_Basics,Residential_2,What does R-2 zoning allow?,"R-2 allows higher density than R-1: single-family homes, duplexes, small apartments (usually 2-4 units), townhomes. Higher density means more units per acre than R-1.",r2_zoning_higher_density_duplexes_apartments_townhomes,beginner_7
Zoning_Basics,Residential_3,What does R-3 zoning allow?,"R-3 allows even higher density: apartments, condominiums, townhomes, sometimes small commercial uses. Typically allows 10-20+ units per acre depending on local regulations.",r3_zoning_high_density_apartments_condominiums_commercial,beginner_8
Zoning_Basics,Commercial_1,What does C-1 zoning allow?,"C-1 (Neighborhood Commercial) allows: retail shops, restaurants, offices, banks, salons, small service businesses. Usually 2-3 story height limits, may allow residential above commercial.",c1_zoning_commercial_retail_restaurants_offices_mixed_use,beginner_9
Zoning_Basics,Commercial_2,What does C-2 zoning allow?,"C-2 (General Commercial) allows wider range of businesses: larger retail, car dealerships, gas stations, hotels, some light industrial. Usually allows larger buildings and signs than C-1.",c2_zoning_general_commercial_car_dealers_hotels_larger_buildings,beginner_10
Zoning_Basics,Industrial_1,What does M-1 zoning allow?,"M-1 (Light Industrial) allows: light manufacturing, warehouses, research facilities, distribution centers, some offices. Stricter noise and emission controls than heavy industrial.",m1_zoning_light_industrial_manufacturing_warehouses_research,beginner_11
Zoning_Basics,Industrial_2,What does M-2 zoning allow?,"M-2 (Heavy Industrial) allows: heavy manufacturing, chemical plants, lumber mills, steel production, waste processing. Fewer restrictions on noise, emissions, and truck traffic.",m2_zoning_heavy_industrial_chemical_plants_manufacturing_emissions,beginner_12
Zoning_Basics,Agricultural_1,What does agricultural zoning allow?,"Agricultural zoning allows: farming, ranching, livestock, agricultural buildings (barns, silos), farm worker housing, some agricultural processing, roadside stands.",agricultural_zoning_farming_ranching_livestock_barns,beginner_13
Zoning_Basics,Mixed_Use,What is mixed-use zoning?,"Mixed-use combines different zoning types in one area, like retail on ground floor with apartments above, or residential and commercial in the same development. Creates walkable, diverse communities.",mixed_use_combined_zoning_retail_residential_walkable_communities,beginner_14
Land_Valuation,Factors,What determines land value?,"Key factors: location, zoning, size, shape, topography, soil conditions, utilities availability, road access, flood zone status, environmental issues, and local market demand.",land_value_factors_location_zoning_utilities_access,beginner_15
Land_Valuation,Comparable_Sales,How do you value land using comparable sales?,"Find recent sales (within 12 months) of similar land: same zoning, similar size, same area. Adjust prices for differences in location, utilities, access, and special features. Calculate price per square foot or acre.",land_valuation_comparable_sales_similar_land_price_per_acre,beginner_16
Land_Valuation,Highest_Best_Use,What is highest and best use?,"Highest and best use determines land value based on the most profitable legal use. Must be: physically possible, legally permissible (zoning), financially feasible, and maximally productive.",highest_best_use_profitable_use_legal_permissible_financially_feasible,intermediate_1
Land_Valuation,Price_Per_Acre,How is land typically priced?,"Land is usually priced per acre or per square foot. Rural/agricultural land: per acre. Urban/suburban lots: per square foot. Always verify the total acreage or square footage before calculating.",land_pricing_per_acre_per_square_foot_rural_urban,beginner_17
Development_Process,Due_Diligence,What is due diligence for land purchases?,"Essential checks before buying: title search, survey, environmental assessment, soil analysis, utility availability, zoning verification, access rights, easements, and local development regulations.",due_diligence_title_search_survey_environmental_soil_analysis,beginner_18
Development_Process,Survey_1,Why do I need a land survey?,"Surveys show exact boundaries, acreage, easements, encroachments, and topography. Required for: financing, insurance, development planning, resolving boundary disputes, and legal compliance.",land_survey_boundaries_acreage_easements_topography,beginner_19
Development_Process,Title_Search,What is a title search?,"Title search examines public records to verify legal ownership, find liens, easements, restrictions, and other issues that could affect your ownership rights. Usually done by title companies.",title_search_ownership_liens_easements_restrictions,beginner_20
Development_Process,Environmental_1,What environmental issues should I check?,"Check for: wetlands, endangered species habitat, contaminated soil, flood zones, steep slopes, protected trees, historical sites. These can restrict or prevent development.",environmental_issues_wetlands_contaminated_soil_flood_zones_protected_areas,beginner_21
Permits_and_Approvals,Building_Permits,What permits do I need to build?,"Common permits: building permit, electrical permit, plumbing permit, mechanical/HVAC permit, grading permit, driveway permit, septic permit (rural areas), and utility connection permits.",building_permits_electrical_plumbing_grading_septic,beginner_22
Permits_and_Approvals,Site_Plan,What is site plan approval?,"Site plan approval is local government review of your development plans. They check: compliance with zoning, setbacks, parking, drainage, landscaping, and other requirements before issuing permits.",site_plan_government_approval_zoning_compliance_setbacks_drainage,beginner_23
Permits_and_Approvals,Timeline_1,How long do permits take?,"Permit timelines vary by complexity and location: Simple residential permits: 2-8 weeks. Complex projects: 3-12 months. Commercial projects: 6 months to 2+ years. Plan for delays.",permit_timeline_residential_commercial_delays_planning,beginner_24
