CATEGORY,SUBCATEGORY,QUESTION,ANSWER,TAGS,DIFFICULTY_LEVEL
Basics,Definitions_1,What is real estate investing?,"Real estate investing is purchasing property to generate income through rental payments, property appreciation, or both. Common types include residential rentals, commercial properties, and land acquisition.",real_estate_investing_definition_basics,beginner_1
Basics,Definitions_2,What is a rental property?,"A rental property is real estate owned by an investor and rented to tenants for income. Landlords typically collect rent annually in advance and are responsible for maintenance, taxes, and management.",rental_property_definition_landlord_tenant,beginner_2
Basics,Definitions_3,What is cash flow?,"Cash flow is the money left over each month after all property expenses are paid. Positive cash flow means you make money, negative cash flow means you pay additional costs monthly.",cash_flow_definition_income_expenses,beginner_3
Basics,Definitions_4,What is equity?,"Equity is the portion of a property you actually own. It equals the property's current value minus what you owe on loans. Equity grows as you pay down debt and property values increase.",equity_definition_mortgage_value,beginner_4
Basics,Property_Types_1,What are the main types of rental properties?,"Single-family houses, duplexes, blocks of flats, mini-flats, self-contained apartments, and commercial properties. Each offers different investment characteristics and management requirements.",property_types_rental_single_family_multi_family,beginner_5
Basics,Property_Types_2,What is a block of flats?,"A block of flats is a multi-unit residential building with several apartments. Common configurations include 2-bedroom and 3-bedroom units, providing multiple income streams from one property.",block_of_flats_multi_unit_apartments_investment,beginner_6
Investment_Basics,ROI_Calculation,How do you calculate ROI for rental property?,"ROI = (Annual Rental Income - Annual Operating Expenses) / Total Investment × 100. Example: ₦2,400,000 annual rent - ₦600,000 expenses = ₦1,800,000 profit. ₦1,800,000 ÷ ₦15,000,000 investment = 12% ROI.",roi_calculation_naira_investment_rental,beginner_7
Investment_Basics,Rental_Yields,What are good rental yields?,"Rental yields typically range from 6-12% annually in major cities. Well-located properties often achieve 8-10% yields. Calculate as annual rent divided by property value times 100.",rental_yields_percentage_returns_investment,beginner_8
Investment_Basics,Cash_Flow_Analysis,What expenses should I include in cash flow calculations?,"Include: property taxes, insurance, maintenance, vacancy allowance, property management fees, service charges, security, and any loan payments. Budget 10-15% of rental income for maintenance and repairs.",cash_flow_expenses_taxes_insurance_maintenance,beginner_9
Investment_Basics,Property_Valuation,How do you determine property value?,"Property value is determined by comparable sales, replacement cost, and income approach. Compare recent sales of similar properties in the same area, adjusting for size, condition, and location differences.",property_valuation_comparable_sales_market_value,beginner_10
